#         t          x          y          z         vx         vy         vz
    165.000    -25.920     45.870    -23.150    -24.840     43.970    -19.260
    170.000    -27.650     49.110    -24.490    -23.910     44.050    -19.480
    175.000    -29.410     52.180    -25.890    -24.620     49.840    -20.180
    180.000    -31.110     55.980    -27.360    -24.870     54.520    -21.940
    185.000    -33.160     59.740    -28.770    -26.110     54.550    -19.380
    190.000    -34.970     63.750    -30.280    -26.360     55.530    -22.120
    195.000    -36.920     67.780    -31.900    -28.170     58.230    -24.090
    200.000    -39.090     72.120    -33.610    -31.570     63.670    -23.870
    205.000    -41.240     76.880    -35.400    -30.660     66.520    -27.930
    210.000    -43.310     81.840    -37.420    -30.850     73.130    -28.380
    215.000    -45.060     86.860    -39.470    -34.350     79.230    -28.070
    220.000    -47.310     92.910    -41.540    -34.700     81.060    -30.330
    225.000    -49.610     99.180    -43.720    -36.650     83.100    -30.240
    230.000    -52.370    105.500    -45.730    -39.970     89.280    -30.470
    235.000    -55.280    112.350    -47.930    -43.260     96.830    -31.600
    240.000    -58.700    119.900    -50.120    -42.960    110.970    -30.480
    245.000    -61.700    128.240    -52.270    -40.480    120.650    -30.220
    250.000    -64.630    137.400    -54.370    -42.300    132.560    -28.110
    255.000    -67.810    147.400    -56.320    -43.680    149.020    -27.660
    260.000    -70.890    158.790    -58.080    -43.360    171.070    -21.100
    265.000    -73.960    171.810    -59.240    -43.640    191.550    -10.850
    270.000    -77.040    186.710    -59.390    -36.410    227.590     10.370
    275.000    -78.610    204.400    -57.230     -5.510    264.520     57.210
    280.000    -76.780    223.090    -50.340     57.270    245.460    129.540
    285.000    -71.180    238.440    -40.120     91.700    182.790    148.360
    290.000    -64.420    249.440    -30.150     85.110    125.100    128.980
    295.000    -58.670    257.230    -21.900     75.030     88.990    103.640
    300.000    -53.720    262.490    -15.130     67.390     65.340     86.130
    305.000    -49.140    266.370     -9.700     63.070     44.880     70.920
    310.000    -44.630    268.830     -5.010     61.690     26.050     62.860
    315.000    -40.400    270.110     -0.920     58.570      8.500     52.790
    320.000    -36.390    270.190      2.730     53.290     -6.080     49.850
    325.000    -32.520    269.370      6.140     51.850    -17.510     43.330
    330.000    -28.940    267.800      9.110     52.050    -28.720     37.670
    335.000    -25.410    265.390     11.670     50.890    -40.080     32.730
    340.000    -21.880    262.110     14.000     49.710    -51.220     29.930
    345.000    -18.540    258.180     16.080     44.860    -60.430     25.900
    350.000    -15.490    253.510     17.790     42.870    -70.800     21.370
    355.000    -12.640    248.110     19.090     37.000    -80.070     14.590
    360.000     -9.850    242.110     19.910     36.850    -88.500      5.160
    365.000     -7.410    235.550     19.960     29.930    -92.830     -6.110
    370.000     -5.130    228.930     18.960     32.290    -89.500    -19.830
    375.000     -2.720    222.390     17.430     36.910    -89.560    -23.520
    380.000     -0.190    215.530     15.880     37.290    -98.980    -21.080
    385.000      2.320    207.900     14.410     35.760   -113.130    -18.350
    390.000      4.720    199.280     13.120     32.340   -129.950    -15.760
    395.000      6.730    189.100     11.690     24.210   -151.520    -20.350
    400.000      7.980    177.410      9.810     10.920   -174.890    -32.400
    405.000      8.140    163.170      6.920    -11.860   -222.740    -49.690
    410.000      4.220    144.620      1.560   -171.750   -232.820    -87.660
    415.000     -4.430    135.210     -0.780    -81.190    -73.050    -13.940
    420.000     -6.940    132.120     -0.140     24.730    -35.430     24.110
    425.000     -5.020    131.690      2.050     78.950     -0.040     48.380
    430.000      0.170    133.570      5.150    125.470     42.330     72.750
    435.000     13.890    139.180     11.810    184.920    133.850    119.400
    440.000     21.770    144.430     19.310     37.420    -44.520     31.890
    445.000     22.970    139.940     18.600     41.600    -50.430     22.520
    450.000     25.460    137.900     19.840     41.880    -26.800     18.420
    455.000     28.520    136.610     21.990     42.410    -20.290     21.640
    460.000     31.590    135.050     24.010     41.790    -31.170     21.670
    465.000     34.790    133.240     26.800     39.800    -23.340     34.010
    470.000     37.550    131.610     29.570     38.150    -25.970     33.810
    475.000     40.280    129.510     32.340     43.460    -27.690     40.540
    480.000     43.090    127.200     34.510     41.400    -30.900     28.540
    485.000     45.850    124.730     36.440     42.840    -31.450     24.280
    490.000     48.600    122.360     38.510     38.410    -28.490     22.220
    495.000     51.000    120.010     40.310     38.670    -22.490     29.470
    500.000     53.190    118.040     41.940     32.960    -20.710     20.040
    505.000     57.670    115.680     43.760     36.460    -24.670     22.220
    510.000     60.280    114.020     45.350     32.320    -27.300     21.500
    515.000     62.790    112.070     47.030     30.530    -26.070     22.820
    520.000     65.250    110.380     48.920     30.310    -24.040     26.970
    525.000     67.530    108.650     50.730     29.540    -25.230     24.580
    530.000     69.580    106.590     52.530     28.090    -27.910     23.540
    535.000     71.500    104.590     54.100     30.750    -25.530     30.240
    540.000     73.660    102.950     55.840     28.070    -21.780     25.610
    545.000     75.390    101.250     57.130     28.620    -20.980     18.810
    550.000     77.240    100.240     58.190     30.190    -16.840     18.870
    555.000     79.470     99.190     59.300     32.890    -20.190     18.240
    560.000     81.750     97.900     60.600     36.390    -16.900     21.720
    565.000     84.300     96.970     62.220     37.310    -17.410     23.040
    570.000     86.810     96.000     63.650     37.950    -19.830     22.980
    575.000     89.550     94.640     65.770     37.710    -17.160     29.690
    580.000     92.540     93.440     68.230     40.830    -17.010     35.230
    585.000     95.110     92.290     70.420     40.440    -23.280     38.950
    590.000     98.030     90.600     73.020     37.800    -23.010     37.160
    595.000    100.450     89.100     75.070     34.590    -25.190     32.590
    600.000    103.050     87.310     77.270     32.650    -24.990     26.240
    605.000    105.450     85.650     79.170     32.710    -25.730     26.810
    610.000    108.070     83.720     81.020     31.620    -25.690     20.140
    615.000    110.130     81.870     82.600     27.080    -27.660     14.560
    620.000    112.280     79.910     84.120     33.220    -25.990     18.940
    625.000    114.640     77.940     85.770     32.940    -26.060     21.990
    630.000    116.980     76.180     87.340     31.140    -24.310     20.370
    635.000    118.200     73.400     88.690     29.240    -24.090     20.110
    640.000    121.170     72.420     90.180     30.680    -27.810     19.350
    645.000    122.520     69.920     91.540     31.450    -25.340     21.910
    650.000    125.180     68.650     92.960     31.810    -25.930     21.460
    655.000    127.300     66.840     94.270     28.930    -25.900     18.090
    660.000    129.330     64.880     95.610     27.570    -29.420     20.680
    665.000    131.360     63.300     97.390     25.390    -22.340     24.180
    670.000    132.830     61.230     98.790     26.840    -17.040     26.740
    675.000    135.280     60.770    100.800     29.300    -13.690     24.790
    680.000    137.200     59.550    102.530     29.050    -14.820     22.090
    685.000    139.260     58.560    104.380     32.200    -17.970     24.960
    690.000    142.150     57.430    106.500     36.100    -16.410     25.950
    695.000    144.170     55.950    108.050     36.730    -17.120     29.720
    700.000    146.790     54.430    110.110     38.280    -19.830     31.630
    705.000    149.660     53.370    112.770     36.000    -21.950     31.720
    710.000    151.840     51.280    114.530     31.220    -19.680     34.910
    715.000    154.050     49.980    116.910     33.040    -17.700     32.290
    720.000    156.390     49.020    119.600     33.260    -18.430     32.070
    725.000    158.520     47.490    121.610     34.110    -16.900     29.990
    730.000    160.520     45.910    123.230     33.930    -19.400     24.340
    735.000    163.580     44.250    125.180     29.720    -26.740     20.310
    740.000    165.860     42.250    126.840     32.260    -31.850     18.110
    745.000    167.030     40.420    127.200     30.920    -31.070     17.100
    750.000    170.200     38.050    129.480     29.190    -30.460     17.700
    755.000    172.120     36.080    130.850     25.140    -23.950     18.410
    760.000    173.100     35.340    131.180     26.310    -20.120     18.390
    765.000    175.150     33.850    133.030     30.840    -17.150     24.190
    770.000    177.520     32.540    135.030     32.180    -16.960     27.220
    775.000    179.820     31.270    137.230     30.610    -20.370     26.900
    780.000    181.970     29.610    139.010     29.750    -21.900     28.880
    785.000    184.150     27.840    140.940     29.910    -22.400     28.910
    790.000    186.600     26.330    143.440     29.330    -18.350     28.490
    795.000    188.700     24.940    145.340     29.550    -22.650     27.780
